scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_spikes,baseline_spikes,frame_hash_match,state_hash_match,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,detail_trace_noncomparable_reason,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_background_corrected_ms,baseline_background_corrected_ms,background_percent_change,current_dda_corrected_ms,baseline_dda_corrected_ms,dda_percent_change,current_portal_trace_corrected_ms,baseline_portal_trace_corrected_ms,portal_trace_percent_change,current_wall_draw_corrected_ms,baseline_wall_draw_corrected_ms,wall_draw_percent_change,current_portal_draw_corrected_ms,baseline_portal_draw_corrected_ms,portal_draw_percent_change
overall,ALL_CLEAN,971,971,46.945212430001284,47.166787018859424,-0.22157458885813952,-0.46976824766449266,21.30142666818416,21.201359329397498,0.47198548560944964,16.349665702025746,16.207339994064696,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,A_APPROACH,8,8,44.68536376953125,45.017242431640625,-0.331878662109375,-0.7372256588424664,22.378692163223494,22.21371070248284,0.7427010414888358,18.74599542334096,18.55492638731597,0,0,1,1,0,0,1,,3.936767578125,4.2724609375,-7.857142857142863,0.0,0.0,,10.80322265625,10.80322265625,0.0,13.824462890625,14.16015625,-2.370689655172409,10.986328125,10.3759765625,5.882352941176472,9.8876953125,10.223388671875,-3.2835820895522394,4.974365234375,5.157470703125,-3.5502958579881616
section,LARGE_ENTRY,20,20,36.553955078125,36.66839599609375,-0.11444091796875,-0.3120968748699604,27.356820838203372,27.271441055303566,0.31307396894306727,26.94736842105263,26.83701883701884,0,0,1,1,26,26,1,,3.204345703125,3.0517578125,5.000000000000004,0.0,0.0,,11.871337890625,11.871337890625,0.0,7.720947265625,7.781982421875,-0.7843137254901933,1.800537109375,1.983642578125,-9.230769230769232,11.932373046875,11.962890625,-0.25510204081632404,0.0,0.0,
section,SLOW_SWEEP,80,80,47.53456115722656,47.76725769042969,-0.232696533203125,-0.4871465192981872,21.037324751823704,20.934842156541738,0.48953125376176576,18.703196347031962,18.575963718820862,0,0,1,1,97,96,0,selected frame index/state differs,3.60107421875,4.150390625,,0.0,0.0,,14.556884765625,14.556884765625,,10.6201171875,10.8642578125,,6.53076171875,6.2255859375,,12.298583984375,12.26806640625,,6.317138671875,6.256103515625,
section,FAST_SWEEP,40,40,47.341156005859375,47.61505126953125,-0.273895263671875,-0.5752283287934645,21.123269568580685,21.0017625380548,0.5785563488098555,19.692307692307693,19.562985074626866,0,0,1,1,142,142,1,,3.875732421875,3.84521484375,0.7936507936507908,0.0,0.0,,12.603759765625,12.603759765625,0.0,10.55908203125,10.80322265625,-2.259887005649719,5.645751953125,5.9814453125,-5.612244897959185,12.847900390625,12.725830078125,0.9592326139088669,5.645751953125,5.55419921875,1.6483516483516425
section,A_RETURN,28,28,56.706019810267854,57.194301060267854,-0.48828125,-0.8537236069822374,17.63481202429461,17.484259470996264,0.8610748058737627,15.693486590038313,15.566745843230404,0,0,1,1,161,161,1,,3.7841796875,3.936767578125,-3.875968992248058,0.0,0.0,,12.176513671875,12.176513671875,0.0,12.908935546875,13.48876953125,-4.298642533936647,10.406494140625,10.31494140625,0.8875739644970349,11.71875,11.65771484375,0.5235602094240788,13.580322265625,13.519287109375,0.4514672686230181
section,B_APPROACH,76,76,46.976591411389805,47.1392179790296,-0.16262656763979777,-0.3449920779596827,21.287197941686824,21.213758795168406,0.3461863935925624,20.302354399008674,20.23965410747375,0,0,1,1,195,195,1,,3.326416015625,3.265380859375,1.869158878504673,0.0,0.0,,23.13232421875,23.13232421875,0.0,8.880615234375,9.1552734375,-3.0000000000000027,2.74658203125,2.8076171875,-2.1739130434782594,10.19287109375,10.009765625,1.8292682926829285,0.762939453125,0.823974609375,-7.4074074074074066
section,B_VIEW,40,40,47.77069091796875,47.890472412109375,-0.119781494140625,-0.25011549919549125,20.93333759223177,20.880980070414683,0.25074264541475877,20.264687693259123,20.20221948212084,0,0,1,1,272,291,0,selected frame index/state differs,3.173828125,3.23486328125,,0.0,0.0,,14.892578125,12.6953125,,6.89697265625,7.9345703125,,1.922607421875,2.9296875,,22.15576171875,19.775390625,,0.0,2.838134765625,
section,B_TO_SMALL,20,20,46.539306640625,46.6644287109375,-0.1251220703125,-0.2681315806683626,21.4872131147541,21.429599110587926,0.26885245901639987,20.978233034571062,20.91129546904914,0,0,1,1,292,292,1,,2.960205078125,3.082275390625,-3.960396039603964,0.0,0.0,,12.6953125,12.6953125,0.0,7.476806640625,7.4462890625,0.4098360655737654,2.410888671875,2.50244140625,-3.658536585365857,20.050048828125,19.8974609375,0.7668711656441785,1.556396484375,1.64794921875,-5.555555555555558
section,SMALL_SWEEP,80,80,50.00114440917969,50.27923583984375,-0.2780914306640625,-0.553093988042852,19.999542246805266,19.888925981002092,0.5561701316040502,18.59704880817253,18.471251409244644,0,0,1,1,336,336,1,,3.72314453125,3.448486328125,7.964601769911495,0.0,0.0,,12.26806640625,12.26806640625,0.0,9.8876953125,10.25390625,-3.57142857142857,6.16455078125,6.317138671875,-2.4154589371980673,17.08984375,17.2119140625,-0.7092198581560294,5.157470703125,5.157470703125,0.0
