crossing_index,frame_index,section_id,section_name,crossing_excluded_from_clean_stats,crossing_total_ticks,crossing_total_ms,crossing_render_ms,room_after_crossing,position_x,position_y,position_z,window_start,window_end,window_clean_frames,window_clean_mean_ms,window_clean_max_ms,pre_clean_mean_ms,pre_clean_average_fps,post_clean_mean_ms,post_clean_average_fps
1,318,5,CROSS_DOWN,0,1773,54.107666015625,26.85546875,1,12.0,5.0078125,4.64453125,315,321,6,40.654500325520836,55.084228515625,52.947998046875,18.886455331412105,27.974446614583332,35.74690909090909
2,324,6,RETURN_UP,0,2614,79.77294921875,52.154541015625,0,0.00390625,9.640625,1.5625,321,327,7,46.22105189732143,79.77294921875,29.195149739583332,34.25226480836237,52.06298828125,19.207502930832355
3,432,8,LOD_APPROACH,0,2147,65.521240234375,38.116455078125,1,11.98828125,4.9296875,4.6328125,429,435,7,48.405238560267854,65.521240234375,52.510579427083336,19.043781480046494,38.594563802083336,25.910384818133895
4,764,10,FREECAM_3D,0,2122,64.75830078125,37.109375,0,0.01171875,9.640625,1.5703125,761,767,7,52.546909877232146,64.75830078125,63.344319661458336,15.786735185482575,37.679036458333336,26.539956803455723
