scene_index,scene_id,scene_name,scene_flags,frame_hash,clean_samples,detailed_samples,total_ms_min,total_ms_max,total_ms_mean,total_ms_median,total_ms_pstdev,wait_ms_min,wait_ms_max,wait_ms_mean,wait_ms_median,wait_ms_pstdev,background_ms_min,background_ms_max,background_ms_mean,background_ms_median,background_ms_pstdev,columns_ms_min,columns_ms_max,columns_ms_mean,columns_ms_median,columns_ms_pstdev,trace_total_ms_min,trace_total_ms_max,trace_total_ms_mean,trace_total_ms_median,trace_total_ms_pstdev,trace_intrusion_percent,corrected_trace_total_ms_min,corrected_trace_total_ms_max,corrected_trace_total_ms_mean,corrected_trace_total_ms_median,corrected_trace_total_ms_pstdev,corrected_trace_residual_percent,admin_corrected_ticks_mean,admin_corrected_ms_mean,admin_entries_mean,wait_corrected_ticks_mean,wait_corrected_ms_mean,wait_entries_mean,background_corrected_ticks_mean,background_corrected_ms_mean,background_entries_mean,dda_corrected_ticks_mean,dda_corrected_ms_mean,dda_entries_mean,portal_trace_corrected_ticks_mean,portal_trace_corrected_ms_mean,portal_trace_entries_mean,wall_draw_corrected_ticks_mean,wall_draw_corrected_ms_mean,wall_draw_entries_mean,portal_draw_corrected_ticks_mean,portal_draw_corrected_ms_mean,portal_draw_entries_mean,casts_mean,max_depth_mean,portal_transforms_mean,wall_calls_mean,mask_calls_mean,portal_candidates_mean,linked_exits_mean,textured_rows_mean,dda_steps_mean
0,1,NEAR_WALL,0x00,0xAA5E6985,8,4,44.219970703125,44.25048828125,44.223785400390625,44.219970703125,0.010092740291841852,0.0,0.030517578125,0.02288818359375,0.030517578125,0.013214498959113138,10.406494140625,10.43701171875,10.425567626953125,10.43701171875,0.014774258980588597,33.660888671875,33.69140625,33.672332763671875,33.660888671875,0.014774258980588597,56.2744140625,56.304931640625,56.29730224609375,56.304931640625,0.013214498959113138,27.387216423703965,44.097900390625,44.12841796875,44.12078857421875,44.12841796875,0.013214498959113138,-0.2328991632881916,101.75,3.10516357421875,163.0,0.0,0.0,1.0,341.0,10.406494140625,1.0,233.0,7.110595703125,80.0,64.0,1.953125,80.0,706.0,21.54541015625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,19200.0,80.0
1,2,MID_DIRECT,0x00,0x1538F381,8,4,42.999267578125,43.02978515625,43.00689697265625,42.999267578125,0.013214498959113138,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,11.688232421875,11.71875,11.699676513671875,11.688232421875,0.014774258980588597,31.158447265625,31.18896484375,31.177520751953125,31.18896484375,0.014774258980588597,55.023193359375,55.0537109375,55.0384521484375,55.0384521484375,0.0152587890625,28.064573354621245,42.8466796875,42.877197265625,42.8619384765625,42.8619384765625,0.0152587890625,-0.3370587191768637,100.25,3.05938720703125,163.0,0.0,0.0,1.0,383.0,11.688232421875,1.0,240.75,7.34710693359375,80.0,62.5,1.9073486328125,80.0,618.0,18.85986328125,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,12800.0,200.0
2,3,LONG_DDA,0x00,0x125784EE,8,4,45.0439453125,45.074462890625,45.070648193359375,45.074462890625,0.010092740291841852,0.0,0.030517578125,0.011444091796875,0.0,0.014774258980588597,21.3623046875,21.392822265625,21.366119384765625,21.3623046875,0.010092740291841852,23.5595703125,23.590087890625,23.586273193359375,23.590087890625,0.010092740291841852,57.098388671875,57.12890625,57.12127685546875,57.12890625,0.013214498959113138,26.8218366483284,44.921875,44.952392578125,44.94476318359375,44.952392578125,0.013214498959113138,-0.27930596699111687,100.5,3.0670166015625,163.0,0.25,0.00762939453125,1.0,699.5,21.3470458984375,1.0,286.5,8.7432861328125,80.0,66.0,2.01416015625,80.0,320.0,9.765625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,2424.0,1155.0
3,4,PORTAL_CHAIN,0x00,0xAD3E19C6,8,4,53.89404296875,53.924560546875,53.905487060546875,53.89404296875,0.014774258980588597,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,10.80322265625,10.833740234375,10.82611083984375,10.833740234375,0.013214498959113138,42.938232421875,42.96875,42.949676513671875,42.938232421875,0.014774258980588597,80.535888671875,80.56640625,80.5511474609375,80.5511474609375,0.0152587890625,49.5152501592244,55.450439453125,55.48095703125,55.4656982421875,55.4656982421875,0.0152587890625,2.8943457646309456,137.25,4.18853759765625,249.0,0.25,0.00762939453125,1.0,354.0,10.80322265625,1.0,462.0,14.09912109375,166.0,372.75,11.37542724609375,252.0,330.75,10.09368896484375,80.0,160.5,4.8980712890625,86.0,166.0,3.0,86.0,80.0,86.0,86.0,86.0,2709.0,911.0
4,5,PORTAL_WIDE,0x00,0x0099C767,8,4,41.015625,41.046142578125,41.03851318359375,41.046142578125,0.013214498959113138,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,12.115478515625,12.14599609375,12.119293212890625,12.115478515625,0.010092740291841852,28.778076171875,28.80859375,28.7933349609375,28.7933349609375,0.0152587890625,56.2744140625,56.304931640625,56.28204345703125,56.2744140625,0.013214498959113138,37.21881390593047,41.259765625,41.290283203125,41.26739501953125,41.259765625,0.013214498959113138,0.557724484104849,106.5,3.2501220703125,182.0,0.25,0.00762939453125,1.0,396.5,12.1002197265625,1.0,319.5,9.7503662109375,99.0,128.25,3.91387939453125,118.0,323.5,9.8724365234375,80.0,77.75,2.37274169921875,19.0,99.0,2.0,19.0,80.0,19.0,23.0,19.0,2814.0,922.0
5,6,CUSTOM_PAIR,0x01,0x7CD87316,8,4,53.436279296875,53.466796875,53.45916748046875,53.466796875,0.013214498959113138,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,10.406494140625,10.43701171875,10.425567626953125,10.43701171875,0.014774258980588597,42.877197265625,42.90771484375,42.90008544921875,42.90771484375,0.013214498959113138,80.902099609375,80.9326171875,80.90972900390625,80.902099609375,0.013214498959113138,51.405737120022835,55.145263671875,55.17578125,55.15289306640625,55.145263671875,0.013214498959113138,3.1682603111174545,137.25,4.18853759765625,253.0,0.0,0.0,1.0,341.0,10.406494140625,1.0,478.75,14.61029052734375,170.0,367.0,11.199951171875,262.0,303.25,9.25445556640625,78.0,180.0,5.4931640625,92.0,170.0,4.0,90.0,78.0,92.0,106.0,92.0,2083.0,1105.0
