crossing_index,frame_index,section_id,section_name,crossing_excluded_from_clean_stats,crossing_total_ticks,crossing_total_ms,crossing_render_ms,room_after_crossing,position_x,position_y,position_z,window_start,window_end,window_clean_frames,window_clean_mean_ms,window_clean_max_ms,pre_clean_mean_ms,pre_clean_average_fps,post_clean_mean_ms,post_clean_average_fps
1,318,5,CROSS_DOWN,0,1764,53.8330078125,26.611328125,1,12.0,5.0078125,4.64453125,315,321,6,40.552775065104164,55.755615234375,53.558349609375,18.67122507122507,27.455647786458332,36.422378658762504
2,324,6,RETURN_UP,0,2618,79.89501953125,52.276611328125,0,0.00390625,9.640625,1.5625,321,327,7,45.998709542410715,79.89501953125,28.533935546875,35.045989304812835,52.164713541666664,19.170046801872076
3,432,8,LOD_APPROACH,0,2129,64.971923828125,37.628173828125,1,11.98828125,4.9296875,4.6328125,429,435,7,48.187255859375,64.971923828125,52.663167317708336,18.98860343828472,38.116455078125,26.235388310648517
4,764,10,FREECAM_3D,0,2106,64.27001953125,36.62109375,0,0.01171875,9.640625,1.5703125,761,767,7,52.621023995535715,64.605712890625,64.15812174479167,15.586491200253686,37.200927734375,26.88105004101723
