scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_spikes,baseline_spikes,frame_hash_match,state_hash_match,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,detail_trace_noncomparable_reason,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_background_corrected_ms,baseline_background_corrected_ms,background_percent_change,current_dda_corrected_ms,baseline_dda_corrected_ms,dda_percent_change,current_portal_trace_corrected_ms,baseline_portal_trace_corrected_ms,portal_trace_percent_change,current_wall_draw_corrected_ms,baseline_wall_draw_corrected_ms,wall_draw_percent_change,current_portal_draw_corrected_ms,baseline_portal_draw_corrected_ms,portal_draw_percent_change
overall,ALL_CLEAN,971,971,47.232505099044154,47.68734587208741,-0.45484077304325865,-0.9537976264464065,21.171860308976857,20.969923607875288,0.9629825309698914,16.14107679424659,15.95093219101397,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,A_APPROACH,8,8,45.1507568359375,45.745849609375,-0.5950927734375,-1.3008672448298841,22.148022980736734,21.859906604402934,1.3180128421764081,18.460845070422536,18.21456364647026,0,0,1,1,0,0,1,,4.21142578125,4.21142578125,0.0,0.0,0.0,,10.80322265625,10.772705078125,0.28328611898016387,14.2822265625,13.885498046875,2.857142857142847,11.260986328125,12.51220703125,-9.999999999999998,9.918212890625,9.796142578125,1.2461059190031154,4.7607421875,4.852294921875,-1.8867924528301883
section,LARGE_ENTRY,20,20,36.65008544921875,37.08648681640625,-0.4364013671875,-1.17671261057396,27.28506598942504,26.963999177124048,1.190724010158628,26.88105004101723,26.532793522267205,0,0,1,1,26,26,1,,3.326416015625,3.0517578125,9.000000000000007,0.0,0.0,,11.871337890625,11.90185546875,-0.2564102564102555,7.843017578125,8.026123046875,-2.281368821292773,1.8310546875,2.410888671875,-24.0506329113924,11.77978515625,11.71875,0.5208333333333259,0.0,0.0,
section,SLOW_SWEEP,80,80,47.88818359375,48.35662841796875,-0.46844482421875,-0.9687292922280766,20.88197807800153,20.679688239563284,0.9782054550089292,18.512994350282487,18.3163778647289,0,0,1,1,96,96,1,,3.41796875,3.814697265625,-10.399999999999999,0.0,0.0,,14.556884765625,14.5263671875,0.21008403361344463,11.16943359375,10.894775390625,2.5210084033613356,6.988525390625,7.4462890625,-6.147540983606559,12.237548828125,12.237548828125,0.0,6.16455078125,6.2255859375,-0.9803921568627416
section,FAST_SWEEP,40,40,47.699737548828125,48.201751708984375,-0.50201416015625,-1.0414853036610272,20.964475936085474,20.74613400022159,1.0524463780169802,19.504761904761907,19.297997644287396,0,0,1,1,142,142,1,,3.326416015625,3.5400390625,-6.034482758620685,0.0,0.0,,12.603759765625,12.5732421875,0.24271844660195274,10.833740234375,10.650634765625,1.7191977077363862,6.40869140625,7.049560546875,-9.090909090909093,12.939453125,12.8173828125,0.952380952380949,5.523681640625,5.55419921875,-0.5494505494505475
section,A_RETURN,28,28,57.394845145089285,58.08258056640625,-0.6877354213169653,-1.1840648514758634,17.42316748955564,17.21686588729804,1.1982529434105826,15.515151515151516,15.348009367681499,0,0,1,1,161,161,1,,3.570556640625,4.058837890625,-12.030075187969924,0.0,0.0,,12.20703125,12.176513671875,0.25062656641603454,13.641357421875,13.458251953125,1.3605442176870763,10.498046875,11.199951171875,-6.267029972752047,11.871337890625,11.749267578125,1.0389610389610393,13.5498046875,13.397216796875,1.1389521640091216
section,B_APPROACH,76,76,47.18057732833059,47.582124408922695,-0.40154708059210265,-0.843903221178588,21.195162429679055,21.01629577120096,0.8510855596313149,20.252163164400493,20.07843137254902,0,0,1,1,195,195,1,,3.23486328125,3.143310546875,2.9126213592232997,0.0,0.0,,23.13232421875,23.101806640625,0.13210039630118242,9.1552734375,9.185791015625,-0.33222591362126463,2.777099609375,3.173828125,-12.5,10.101318359375,10.19287109375,-0.8982035928143728,0.823974609375,0.823974609375,0.0
section,B_VIEW,40,40,47.88665771484375,48.253631591796875,-0.366973876953125,-0.7605103799389723,20.882643469394257,20.72382879820387,0.7663384634993387,20.164923076923078,20.004884004884005,0,0,1,1,291,291,1,,3.387451171875,3.2958984375,2.777777777777768,0.0,0.0,,12.6953125,12.664794921875,0.24096385542169418,7.87353515625,7.965087890625,-1.1494252873563204,2.838134765625,3.5400390625,-19.82758620689655,19.775390625,19.6533203125,0.6211180124223503,2.9296875,2.838134765625,3.2258064516129004
section,B_TO_SMALL,20,20,46.6522216796875,47.00775146484375,-0.35552978515625,-0.7563216152173258,21.435206384509716,21.273087285357224,0.7620854320664616,20.91129546904914,20.739240506329114,0,0,1,1,292,292,1,,3.265380859375,3.143310546875,3.8834951456310662,0.0,0.0,,12.6953125,12.664794921875,0.24096385542169418,7.476806640625,7.476806640625,0.0,2.410888671875,2.8076171875,-14.130434782608692,19.866943359375,19.95849609375,-0.4587155963302725,1.617431640625,1.678466796875,-3.6363636363636376
section,SMALL_SWEEP,80,80,50.443267822265625,50.94337463378906,-0.5001068115234375,-0.9816915646411295,19.824250949075125,19.629637949754763,0.9914242932982598,18.357422969187674,18.174154187465337,0,0,1,1,336,336,1,,3.90625,3.692626953125,5.785123966942152,0.0,0.0,,12.26806640625,12.20703125,0.49999999999998934,9.918212890625,10.25390625,-3.2738095238095233,6.805419921875,7.049560546875,-3.463203463203468,17.08984375,17.242431640625,-0.8849557522123908,4.974365234375,5.126953125,-2.9761904761904767
