crossing_index,frame_index,section_id,section_name,crossing_excluded_from_clean_stats,crossing_total_ticks,crossing_total_ms,crossing_render_ms,room_after_crossing,position_x,position_y,position_z,window_start,window_end,window_clean_frames,window_clean_mean_ms,window_clean_max_ms,pre_clean_mean_ms,pre_clean_average_fps,post_clean_mean_ms,post_clean_average_fps
1,318,5,CROSS_DOWN,0,1756,53.5888671875,26.3671875,1,12.0,5.0078125,4.64453125,315,321,6,40.003458658854164,53.5888671875,52.3681640625,19.095571095571096,27.231852213541668,36.72170339932761
2,324,6,RETURN_UP,0,2543,77.606201171875,50.018310546875,0,0.00390625,9.640625,1.5625,321,327,7,44.865199497767854,77.606201171875,28.299967447916668,35.335729690869876,50.516764322916664,19.795408779701972
3,432,8,LOD_APPROACH,0,2117,64.605712890625,37.2314453125,1,11.98828125,4.9296875,4.6328125,429,435,7,47.01014927455357,64.605712890625,50.435384114583336,19.827349737797498,37.7197265625,26.511326860841425
4,764,10,FREECAM_3D,0,2090,63.78173828125,36.07177734375,0,0.01171875,9.640625,1.5703125,761,767,7,50.789969308035715,63.78173828125,60.597737630208336,16.502266241396676,36.651611328125,27.283930058284763
