scope,frame_count,detailed_frames_excluded,total_ticks,duration_ms,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,average_fps,median_fps,minimum_fps,maximum_fps,one_percent_low_fps,one_percent_low_frame_count,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,update_ms_mean,render_ms_mean,swap_ms_mean,build_version,route_fingerprint,warmup_frames,portal_crossings,graphics_init_ms,first_frame_ms,route_wall_ms,recorded_total_ms,switch_cost_ticks
overall_clean,844,10,1147404,35015.9912109375,26.641845703125,78.79638671875,41.48814124518661,37.59765625,8.881936637989337,24.103273127860806,26.5974025974026,12.690937257939582,37.534936998854526,15.208705069362075,9,75.1953125,1,684,157,0,0.8332311259626777,40.64066376166321,0.014246357560722749,0x26080601,0x90ABD6C8,16,4,163.818359375,47.698974609375,37001.251220703125,35544.00634765625,0.875
overall_observed,854,0,1164706,35544.00634765625,26.641845703125,78.79638671875,41.62061633215018,37.628173828125,8.940979309325696,24.026554340752085,26.575831305758314,12.690937257939582,37.534936998854526,15.193034877131524,9,75.25634765625,1,694,164,0,0.8312287877817623,40.77520080137588,0.01418674299253513,0x26080601,0x90ABD6C8,16,4,163.818359375,47.698974609375,37001.251220703125,35544.00634765625,0.875
