crossing_index,frame_index,section_id,section_name,crossing_excluded_from_clean_stats,crossing_total_ticks,crossing_total_ms,crossing_render_ms,room_after_crossing,position_x,position_y,position_z,window_start,window_end,window_clean_frames,window_clean_mean_ms,window_clean_max_ms,pre_clean_mean_ms,pre_clean_average_fps,post_clean_mean_ms,post_clean_average_fps
1,318,5,CROSS_DOWN,0,1857,56.671142578125,28.167724609375,1,12.0,5.0078125,4.64453125,315,321,6,44.43359375,63.262939453125,61.004638671875,16.392196098049023,29.307047526041668,34.12148559527942
2,324,6,RETURN_UP,0,2881,87.921142578125,59.112548828125,0,0.00390625,9.640625,1.5625,321,327,7,51.217215401785715,87.921142578125,30.914306640625,32.34748272458045,59.285481770833336,16.867536032944408
3,432,8,LOD_APPROACH,0,2353,71.807861328125,43.15185546875,1,11.98828125,4.9296875,4.6328125,429,435,7,54.45643833705357,71.807861328125,59.499104817708336,16.806975551376304,43.629964192708336,22.92002797854978
4,764,10,FREECAM_3D,0,2298,70.12939453125,41.229248046875,0,0.01171875,9.640625,1.5703125,761,767,7,59.295654296875,73.8525390625,73.20149739583333,13.660922734852695,41.778564453125,23.93571950328707
