scene_id,scene_name,config_match,frame_hash_match,current_frame_hash,baseline_frame_hash,current_clean_samples,baseline_clean_samples,current_detailed_samples,baseline_detailed_samples,current_total_ms_mean,baseline_total_ms_mean,total_ms_delta,total_percent_change,current_wait_ms_mean,baseline_wait_ms_mean,wait_ms_delta,wait_percent_change,current_background_ms_mean,baseline_background_ms_mean,background_ms_delta,background_percent_change,current_columns_ms_mean,baseline_columns_ms_mean,columns_ms_delta,columns_percent_change,current_admin_corrected_ms_mean,baseline_admin_corrected_ms_mean,admin_corrected_ms_delta,admin_corrected_percent_change,current_wait_corrected_ms_mean,baseline_wait_corrected_ms_mean,wait_corrected_ms_delta,wait_corrected_percent_change,current_background_corrected_ms_mean,baseline_background_corrected_ms_mean,background_corrected_ms_delta,background_corrected_percent_change,current_dda_corrected_ms_mean,baseline_dda_corrected_ms_mean,dda_corrected_ms_delta,dda_corrected_percent_change,current_portal_trace_corrected_ms_mean,baseline_portal_trace_corrected_ms_mean,portal_trace_corrected_ms_delta,portal_trace_corrected_percent_change,current_wall_draw_corrected_ms_mean,baseline_wall_draw_corrected_ms_mean,wall_draw_corrected_ms_delta,wall_draw_corrected_percent_change,current_portal_draw_corrected_ms_mean,baseline_portal_draw_corrected_ms_mean,portal_draw_corrected_ms_delta,portal_draw_corrected_percent_change
1,NEAR_WALL,1,1,0xAA5E6985,0xAA5E6985,8,8,4,4,44.12078857421875,44.239044189453125,-0.118255615234375,-0.2673105113391361,0.019073486328125,0.019073486328125,0.0,0.0,10.425567626953125,10.425567626953125,0.0,0.0,33.550262451171875,33.6761474609375,-0.125885009765625,-0.3738106026279997,3.1280517578125,3.04412841796875,0.08392333984375,2.7568922305764465,0.0,0.0,0.0,,10.406494140625,10.41412353515625,-0.00762939453125,-0.073260073260073,6.988525390625,7.16400146484375,-0.17547607421875,-2.4494142705005273,2.00653076171875,1.94549560546875,0.06103515625,3.1372549019607954,21.47674560546875,21.5606689453125,-0.08392333984375,-0.38924274593064023,0.0,0.0,0.0,
2,MID_DIRECT,1,1,0x1538F381,0x1538F381,8,8,4,4,42.90008544921875,43.02215576171875,-0.1220703125,-0.2837382514630282,0.0152587890625,0.019073486328125,-0.003814697265625,-19.999999999999996,11.699676513671875,11.699676513671875,0.0,0.0,31.063079833984375,31.18896484375,-0.125885009765625,-0.40362035225048887,3.0670166015625,3.1280517578125,-0.06103515625,-1.9512195121951237,0.00762939453125,0.0,0.00762939453125,,11.688232421875,11.688232421875,0.0,0.0,7.232666015625,7.354736328125,-0.1220703125,-1.6597510373444035,1.94549560546875,1.922607421875,0.02288818359375,1.1904761904761862,18.8140869140625,18.79119873046875,0.02288818359375,0.12180267965895553,0.0,0.0,0.0,
3,LONG_DDA,1,1,0x125784EE,0x125784EE,8,8,4,4,44.963836669921875,45.085906982421875,-0.1220703125,-0.2707504865047783,0.019073486328125,0.019073486328125,0.0,0.0,21.3623046875,21.366119384765625,-0.003814697265625,-0.01785395465095929,23.4527587890625,23.58245849609375,-0.12969970703125,-0.5499838240051735,3.08990478515625,3.0975341796875,-0.00762939453125,-0.24630541871921707,0.0,0.0,0.0,,21.35467529296875,21.35467529296875,0.0,0.0,8.62884521484375,8.758544921875,-0.12969970703125,-1.4808362369338024,1.9378662109375,1.9378662109375,0.0,0.0,9.82666015625,9.80377197265625,0.02288818359375,0.23346303501945442,0.0,0.0,0.0,
4,PORTAL_CHAIN,1,1,0xAD3E19C6,0xAD3E19C6,8,8,4,4,53.0548095703125,53.62701416015625,-0.57220458984375,-1.0670081092616357,0.019073486328125,0.019073486328125,0.0,0.0,10.822296142578125,10.822296142578125,0.0,0.0,42.095184326171875,42.667388916015625,-0.57220458984375,-1.341081805990163,4.18853759765625,4.08935546875,0.09918212890625,2.425373134328357,0.0,0.0,0.0,,10.80322265625,10.81085205078125,-0.00762939453125,-0.07057163020465218,13.6871337890625,14.22119140625,-0.5340576171875,-3.7553648068669565,11.0626220703125,11.05499267578125,0.00762939453125,0.06901311249136732,10.00213623046875,10.10894775390625,-0.1068115234375,-1.0566037735849076,4.8828125,4.913330078125,-0.030517578125,-0.6211180124223614
5,PORTAL_WIDE,1,1,0x0099C767,0x0099C767,8,8,4,4,40.77911376953125,41.004180908203125,-0.225067138671875,-0.5488882686761509,0.019073486328125,0.02288818359375,-0.003814697265625,-16.666666666666664,12.115478515625,12.126922607421875,-0.011444091796875,-0.09436929852154607,28.5186767578125,28.74755859375,-0.2288818359375,-0.79617834394905,3.50189208984375,3.3721923828125,0.12969970703125,3.8461538461538547,0.0,0.0,0.0,,12.1002197265625,12.10784912109375,-0.00762939453125,-0.0630119722747291,9.490966796875,9.765625,-0.274658203125,-2.8124999999999956,3.65447998046875,3.83758544921875,-0.18310546875,-4.771371769383704,9.8724365234375,9.8419189453125,0.030517578125,0.31007751937983663,2.38037109375,2.3040771484375,0.0762939453125,3.31125827814569
6,CUSTOM_PAIR,1,1,0x7CD87316,0x7CD87316,8,8,4,4,52.318572998046875,52.75726318359375,-0.438690185546875,-0.8315256688358641,0.02288818359375,0.019073486328125,0.003814697265625,19.999999999999996,10.42938232421875,10.42938232421875,0.0,0.0,41.736602783203125,42.144775390625,-0.408172607421875,-0.9685010861694376,4.2572021484375,4.11224365234375,0.14495849609375,3.5250463821892453,0.00762939453125,0.00762939453125,0.0,0.0,10.4217529296875,10.41412353515625,0.00762939453125,0.073260073260073,14.25933837890625,14.74761962890625,-0.48828125,-3.3109156751163993,10.27679443359375,10.3759765625,-0.09918212890625,-0.9558823529411731,9.27734375,9.25445556640625,0.02288818359375,0.2473206924979321,5.51605224609375,5.5389404296875,-0.02288818359375,-0.4132231404958664
