crossing_index,frame_index,section_id,section_name,crossing_excluded_from_clean_stats,crossing_total_ticks,crossing_total_ms,crossing_render_ms,room_after_crossing,position_x,position_y,position_z,window_start,window_end,window_clean_frames,window_clean_mean_ms,window_clean_max_ms,pre_clean_mean_ms,pre_clean_average_fps,post_clean_mean_ms,post_clean_average_fps
1,318,5,CROSS_DOWN,0,1764,53.8330078125,26.580810546875,1,12.0,5.0078125,4.64453125,315,321,6,40.501912434895836,55.633544921875,53.466796875,18.703196347031962,27.414957682291668,36.47643784786642
2,324,6,RETURN_UP,0,2614,79.77294921875,52.154541015625,0,0.00390625,9.640625,1.5625,321,327,7,45.91151646205357,79.77294921875,28.493245442708332,35.096037129596574,52.042643229166664,19.215011727912433
3,432,8,LOD_APPROACH,0,2130,65.00244140625,37.628173828125,1,11.98828125,4.9296875,4.6328125,429,435,7,48.11314174107143,65.00244140625,52.520751953125,19.04009296920395,38.075764973958336,26.26342506011221
4,764,10,FREECAM_3D,0,2106,64.27001953125,36.590576171875,0,0.01171875,9.640625,1.5703125,761,767,7,52.546909877232146,64.51416015625,64.04622395833333,15.613722998729353,37.139892578125,26.925225965488906
