scene_index,scene_id,scene_name,scene_flags,frame_hash,clean_samples,detailed_samples,total_ms_min,total_ms_max,total_ms_mean,total_ms_median,total_ms_pstdev,wait_ms_min,wait_ms_max,wait_ms_mean,wait_ms_median,wait_ms_pstdev,background_ms_min,background_ms_max,background_ms_mean,background_ms_median,background_ms_pstdev,columns_ms_min,columns_ms_max,columns_ms_mean,columns_ms_median,columns_ms_pstdev,trace_total_ms_min,trace_total_ms_max,trace_total_ms_mean,trace_total_ms_median,trace_total_ms_pstdev,trace_intrusion_percent,corrected_trace_total_ms_min,corrected_trace_total_ms_max,corrected_trace_total_ms_mean,corrected_trace_total_ms_median,corrected_trace_total_ms_pstdev,corrected_trace_residual_percent,admin_corrected_ticks_mean,admin_corrected_ms_mean,admin_entries_mean,wait_corrected_ticks_mean,wait_corrected_ms_mean,wait_entries_mean,background_corrected_ticks_mean,background_corrected_ms_mean,background_entries_mean,dda_corrected_ticks_mean,dda_corrected_ms_mean,dda_entries_mean,portal_trace_corrected_ticks_mean,portal_trace_corrected_ms_mean,portal_trace_entries_mean,wall_draw_corrected_ticks_mean,wall_draw_corrected_ms_mean,wall_draw_entries_mean,portal_draw_corrected_ticks_mean,portal_draw_corrected_ms_mean,portal_draw_entries_mean,casts_mean,max_depth_mean,portal_transforms_mean,wall_calls_mean,mask_calls_mean,portal_candidates_mean,linked_exits_mean,textured_rows_mean,dda_steps_mean
0,1,NEAR_WALL,0x00,0xAA5E6985,8,4,44.647216796875,44.677734375,44.658660888671875,44.647216796875,0.014774258980588597,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,10.3759765625,10.406494140625,10.387420654296875,10.3759765625,0.014774258980588597,34.11865234375,34.149169921875,34.145355224609375,34.149169921875,0.010092740291841852,56.732177734375,56.732177734375,56.732177734375,56.732177734375,0.0,27.120526180917402,44.5556640625,44.5556640625,44.5556640625,44.5556640625,0.0,-0.23063124626292453,103.25,3.15093994140625,163.0,0.0,0.0,1.0,340.0,10.3759765625,1.0,230.5,7.0343017578125,80.0,76.0,2.3193359375,80.0,710.25,21.67510986328125,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,19200.0,80.0
1,2,MID_DIRECT,0x00,0x1538F381,8,4,43.45703125,43.487548828125,43.46466064453125,43.45703125,0.013214498959113138,0.0,0.030517578125,0.02288818359375,0.030517578125,0.013214498959113138,11.65771484375,11.688232421875,11.684417724609375,11.688232421875,0.010092740291841852,31.646728515625,31.67724609375,31.65435791015625,31.646728515625,0.013214498959113138,55.511474609375,55.5419921875,55.5267333984375,55.5267333984375,0.0152587890625,27.804107424960513,43.3349609375,43.365478515625,43.3502197265625,43.3502197265625,0.0152587890625,-0.263296471827279,101.0,3.082275390625,163.0,0.0,0.0,1.0,382.0,11.65771484375,1.0,241.0,7.354736328125,80.0,76.0,2.3193359375,80.0,620.5,18.9361572265625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,12800.0,200.0
2,3,LONG_DDA,0x00,0x125784EE,8,4,45.501708984375,45.5322265625,45.520782470703125,45.5322265625,0.014774258980588597,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,21.331787109375,21.3623046875,21.33941650390625,21.331787109375,0.013214498959113138,24.0478515625,24.078369140625,24.051666259765625,24.0478515625,0.010092740291841852,57.586669921875,57.586669921875,57.586669921875,57.586669921875,0.0,26.606888460571533,45.41015625,45.41015625,45.41015625,45.41015625,0.0,-0.2430235481438059,104.75,3.19671630859375,163.0,0.0,0.0,1.0,699.0,21.331787109375,1.0,284.75,8.68988037109375,80.0,76.25,2.32696533203125,80.0,323.25,9.86480712890625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,2424.0,1155.0
3,4,PORTAL_CHAIN,0x00,0xAD3E19C6,8,4,54.74853515625,54.74853515625,54.74853515625,54.74853515625,0.0,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,10.772705078125,10.80322265625,10.776519775390625,10.772705078125,0.010092740291841852,43.8232421875,43.853759765625,43.84613037109375,43.853759765625,0.013214498959113138,81.4208984375,81.4208984375,81.4208984375,81.4208984375,0.0,48.78762541806021,56.33544921875,56.33544921875,56.33544921875,56.33544921875,0.0,2.898550724637672,131.75,4.02069091796875,249.0,0.25,0.00762939453125,1.0,353.0,10.772705078125,1.0,463.0,14.129638671875,166.0,403.25,12.30621337890625,252.0,334.5,10.2081298828125,80.0,160.25,4.89044189453125,86.0,166.0,3.0,86.0,80.0,86.0,86.0,86.0,2709.0,911.0
4,5,PORTAL_WIDE,0x00,0x0099C767,8,4,41.595458984375,41.595458984375,41.595458984375,41.595458984375,0.0,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,12.0849609375,12.115478515625,12.104034423828125,12.115478515625,0.014774258980588597,29.35791015625,29.388427734375,29.361724853515625,29.35791015625,0.010092740291841852,56.854248046875,56.854248046875,56.854248046875,56.854248046875,0.0,36.775495231107854,41.839599609375,41.839599609375,41.839599609375,41.839599609375,0.0,0.5869405722670473,107.5,3.2806396484375,182.0,0.0,0.0,1.0,396.25,12.09259033203125,1.0,320.5,9.7808837890625,99.0,143.75,4.38690185546875,118.0,325.75,9.94110107421875,80.0,77.25,2.35748291015625,19.0,99.0,2.0,19.0,80.0,19.0,23.0,19.0,2814.0,922.0
5,6,CUSTOM_PAIR,0x01,0x7CD87316,8,4,54.3212890625,54.351806640625,54.325103759765625,54.3212890625,0.010092740291841852,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,10.3759765625,10.406494140625,10.3912353515625,10.3912353515625,0.0152587890625,43.792724609375,43.8232421875,43.804168701171875,43.792724609375,0.014774258980588597,81.787109375,81.787109375,81.787109375,81.787109375,0.0,50.621445123235716,56.0302734375,56.0302734375,56.0302734375,56.0302734375,0.0,3.138824520749939,136.25,4.15802001953125,253.0,0.0,0.0,1.0,339.5,10.3607177734375,1.0,478.5,14.6026611328125,170.0,397.0,12.115478515625,262.0,305.5,9.3231201171875,78.0,179.25,5.47027587890625,92.0,170.0,4.0,90.0,78.0,92.0,106.0,92.0,2083.0,1105.0
