scene_index,scene_id,scene_name,scene_flags,frame_hash,clean_samples,detailed_samples,total_ms_min,total_ms_max,total_ms_mean,total_ms_median,total_ms_pstdev,wait_ms_min,wait_ms_max,wait_ms_mean,wait_ms_median,wait_ms_pstdev,background_ms_min,background_ms_max,background_ms_mean,background_ms_median,background_ms_pstdev,columns_ms_min,columns_ms_max,columns_ms_mean,columns_ms_median,columns_ms_pstdev,trace_total_ms_min,trace_total_ms_max,trace_total_ms_mean,trace_total_ms_median,trace_total_ms_pstdev,trace_intrusion_percent,corrected_trace_total_ms_min,corrected_trace_total_ms_max,corrected_trace_total_ms_mean,corrected_trace_total_ms_median,corrected_trace_total_ms_pstdev,corrected_trace_residual_percent,admin_corrected_ticks_mean,admin_corrected_ms_mean,admin_entries_mean,wait_corrected_ticks_mean,wait_corrected_ms_mean,wait_entries_mean,background_corrected_ticks_mean,background_corrected_ms_mean,background_entries_mean,dda_corrected_ticks_mean,dda_corrected_ms_mean,dda_entries_mean,portal_trace_corrected_ticks_mean,portal_trace_corrected_ms_mean,portal_trace_entries_mean,wall_draw_corrected_ticks_mean,wall_draw_corrected_ms_mean,wall_draw_entries_mean,portal_draw_corrected_ticks_mean,portal_draw_corrected_ms_mean,portal_draw_entries_mean,casts_mean,max_depth_mean,portal_transforms_mean,wall_calls_mean,mask_calls_mean,portal_candidates_mean,linked_exits_mean,textured_rows_mean,dda_steps_mean
0,1,NEAR_WALL,0x00,0xAA5E6985,8,4,630.157470703125,630.18798828125,630.1651000976562,630.157470703125,0.013214498959113138,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,10.3759765625,10.406494140625,10.395050048828125,10.406494140625,0.014774258980588597,619.62890625,619.659423828125,619.6403503417969,619.62890625,0.014774258980588597,642.333984375,642.364501953125,642.3492431640625,642.3492431640625,0.0152587890625,1.93832705788346,630.096435546875,630.126953125,630.1116943359375,630.1116943359375,0.0152587890625,-0.00847488407569319,100.5,3.0670166015625,164.0,0.0,0.0,1.0,340.0,10.3759765625,1.0,233.75,7.13348388671875,80.0,73.5,2.2430419921875,80.0,19899.75,607.2921752929688,81.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,19200.0,80.0
1,2,MID_DIRECT,0x00,0x1538F381,8,4,467.71240234375,467.742919921875,467.7238464355469,467.71240234375,0.014774258980588597,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,11.688232421875,11.688232421875,11.688232421875,11.688232421875,0.0,455.902099609375,455.9326171875,455.9135437011719,455.902099609375,0.014774258980588597,479.888916015625,479.888916015625,479.888916015625,479.888916015625,0.0,2.6139579646198063,467.6513671875,467.6513671875,467.6513671875,467.6513671875,0.0,-0.015496162660777468,96.5,2.9449462890625,164.0,0.0,0.0,1.0,383.0,11.688232421875,1.0,242.25,7.39288330078125,80.0,73.25,2.23541259765625,80.0,14529.0,443.389892578125,81.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,12800.0,200.0
2,3,LONG_DDA,0x00,0x125784EE,8,4,47.8515625,47.882080078125,47.87445068359375,47.882080078125,0.013214498959113138,0.0,0.030517578125,0.02288818359375,0.030517578125,0.013214498959113138,21.30126953125,21.331787109375,21.327972412109375,21.331787109375,0.010092740291841852,26.397705078125,26.42822265625,26.4129638671875,26.4129638671875,0.0152587890625,60.05859375,60.089111328125,60.0738525390625,60.0738525390625,0.0152587890625,25.561752988047814,47.821044921875,47.8515625,47.8363037109375,47.8363037109375,0.0152587890625,-0.07968127490040056,102.5,3.1280517578125,164.0,0.0,0.0,1.0,698.5,21.3165283203125,1.0,285.75,8.72039794921875,80.0,71.0,2.166748046875,80.0,409.75,12.50457763671875,81.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,2424.0,1155.0
3,4,PORTAL_CHAIN,0x00,0xAD3E19C6,8,4,57.12890625,57.159423828125,57.15179443359375,57.159423828125,0.013214498959113138,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,10.772705078125,10.80322265625,10.7879638671875,10.7879638671875,0.0152587890625,46.234130859375,46.234130859375,46.234130859375,46.234130859375,0.0,83.892822265625,83.892822265625,83.892822265625,83.892822265625,0.0,46.89627553063676,58.746337890625,58.746337890625,58.746337890625,58.746337890625,0.0,2.7900146842878115,131.5,4.0130615234375,250.0,0.25,0.00762939453125,1.0,353.25,10.78033447265625,1.0,460.25,14.04571533203125,166.0,401.75,12.26043701171875,252.0,419.25,12.79449462890625,81.0,158.75,4.84466552734375,86.0,166.0,3.0,86.0,80.0,86.0,86.0,86.0,2709.0,911.0
4,5,PORTAL_WIDE,0x00,0x0099C767,8,4,43.9453125,43.975830078125,43.972015380859375,43.975830078125,0.010092740291841852,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,12.115478515625,12.115478515625,12.115478515625,12.115478515625,0.0,31.707763671875,31.73828125,31.73065185546875,31.73828125,0.013214498959113138,59.326171875,59.356689453125,59.34906005859375,59.356689453125,0.013214498959113138,35.056823110956884,44.25048828125,44.281005859375,44.27337646484375,44.281005859375,0.013214498959113138,0.6853474451288255,104.0,3.173828125,183.0,0.25,0.00762939453125,1.0,396.25,12.09259033203125,1.0,321.75,9.81903076171875,99.0,141.25,4.31060791015625,118.0,411.25,12.55035400390625,81.0,76.0,2.3193359375,19.0,99.0,2.0,19.0,80.0,19.0,23.0,19.0,2814.0,922.0
5,6,CUSTOM_PAIR,0x01,0x7CD87316,8,4,56.640625,56.671142578125,56.66351318359375,56.671142578125,0.013214498959113138,0.0,0.030517578125,0.02288818359375,0.030517578125,0.013214498959113138,10.3759765625,10.406494140625,10.3912353515625,10.3912353515625,0.0152587890625,46.112060546875,46.142578125,46.138763427734375,46.142578125,0.010092740291841852,84.197998046875,84.197998046875,84.197998046875,84.197998046875,0.0,48.673757910327176,58.380126953125,58.380126953125,58.380126953125,58.380126953125,0.0,3.0294870068668267,136.0,4.150390625,254.0,0.0,0.0,1.0,340.0,10.3759765625,1.0,479.75,14.64080810546875,170.0,389.75,11.89422607421875,262.0,386.5,11.7950439453125,79.0,181.0,5.523681640625,92.0,170.0,4.0,90.0,78.0,92.0,106.0,92.0,2083.0,1105.0
