crossing_index,frame_index,section_id,section_name,crossing_detailed,crossing_included_in_clean_stats,crossing_total_ticks,crossing_total_ms,crossing_render_ms,player_x,player_y,angle_degrees,pre_clean_frames,pre_clean_mean_ms,pre_clean_average_fps,post_clean_frames,post_clean_mean_ms,post_clean_average_fps,window_start,window_end,window_max_ms,window_observed_max_ms,window_clean_frames,window_clean_max_ms
1,4,1,A_APPROACH,0,1,1095,33.416748046875,32.8369140625,3.5,1.25390625,90.0,3,50.872802734375,19.656868626274743,3,33.253987630208336,30.07158152340165,1,7,50.96435546875,50.96435546875,7,50.96435546875
2,173,5,A_RETURN,0,1,1502,45.83740234375,45.2880859375,1.25,2.5,359.296875,3,56.610107421875,17.66469002695418,3,45.074462890625,22.18551117129316,170,176,56.70166015625,56.70166015625,7,56.70166015625
3,666,13,D_APPROACH,0,1,1438,43.88427734375,43.27392578125,13.75,5.17578125,177.890625,3,51.900227864583336,19.267738141905134,3,44.036865234375,22.70824670824671,663,669,52.642822265625,52.642822265625,7,52.642822265625
