scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_spikes,baseline_spikes,frame_hash_match,state_hash_match,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,detail_trace_noncomparable_reason,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_background_corrected_ms,baseline_background_corrected_ms,background_percent_change,current_dda_corrected_ms,baseline_dda_corrected_ms,dda_percent_change,current_portal_trace_corrected_ms,baseline_portal_trace_corrected_ms,portal_trace_percent_change,current_wall_draw_corrected_ms,baseline_wall_draw_corrected_ms,wall_draw_percent_change,current_portal_draw_corrected_ms,baseline_portal_draw_corrected_ms,portal_draw_percent_change
overall,ALL_CLEAN,971,971,44.6051961975412,47.231436512374486,-2.6262403148332893,-5.560365105865928,22.418912710782422,21.172339311297534,5.887745237578534,16.684317718940935,16.145053212455657,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,A_APPROACH,8,8,42.2515869140625,45.139312744140625,-2.887725830078125,-6.397363306008619,23.667750090285303,22.15363813065157,6.83459732755507,19.469994058229354,18.471251409244644,0,0,1,1,0,0,1,,4.364013671875,3.387451171875,28.828828828828822,0.0,0.0,,10.80322265625,10.833740234375,-0.28169014084507005,14.007568359375,14.34326171875,-2.3404255319148914,11.65771484375,11.41357421875,2.1390374331550888,7.01904296875,9.8876953125,-29.01234567901234,4.638671875,5.37109375,-13.636363636363635
section,LARGE_ENTRY,20,20,33.76312255859375,36.65008544921875,-2.886962890625,-7.877097297972435,29.618113616848195,27.28506598942504,8.550639490215573,29.178984861976847,26.88105004101723,0,0,1,1,26,26,1,,3.173828125,2.899169921875,9.473684210526322,0.0,0.0,,11.871337890625,11.871337890625,0.0,7.87353515625,7.99560546875,-1.526717557251911,1.8310546875,2.044677734375,-10.447761194029848,8.97216796875,11.810302734375,-24.031007751937985,0.0,0.0,
section,SLOW_SWEEP,80,80,45.06378173828125,47.88818359375,-2.82440185546875,-5.897909762936527,22.19076964751295,20.88197807800153,6.267565096671501,19.574671445639186,18.502540937323545,0,0,1,1,96,97,0,selected frame index/state differs,3.41796875,3.47900390625,,0.0,0.0,,14.556884765625,14.556884765625,,11.016845703125,11.077880859375,,6.866455078125,7.049560546875,,9.46044921875,12.14599609375,,6.317138671875,6.256103515625,
section,FAST_SWEEP,40,40,44.950103759765625,47.693634033203125,-2.7435302734375,-5.75240350007199,22.24688969227897,20.96715883096316,6.103501536059208,20.531328320802004,19.51637879690292,0,0,1,1,142,142,1,,3.509521484375,3.35693359375,4.545454545454541,0.0,0.0,,12.603759765625,12.603759765625,0.0,10.68115234375,10.833740234375,-1.4084507042253502,6.34765625,6.072998046875,4.522613065326642,10.3759765625,13.092041015625,-20.745920745920742,5.584716796875,5.706787109375,-2.1390374331550777
section,A_RETURN,28,28,55.180140904017854,57.394845145089285,-2.2147042410714306,-3.8587162932016694,18.122461878802245,17.42316748955564,4.013589318163846,16.023471882640585,15.50780880265026,0,0,1,1,161,161,1,,3.5400390625,4.08935546875,-13.432835820895528,0.0,0.0,,12.20703125,12.20703125,0.0,13.519287109375,13.275146484375,1.839080459770126,10.498046875,10.3759765625,1.17647058823529,9.765625,11.810302734375,-17.312661498708014,13.73291015625,13.5498046875,1.3513513513513598
section,B_APPROACH,76,76,44.408296283922695,47.18057732833059,-2.7722810444078974,-5.8758947036945735,22.518314902389843,21.195162429679055,6.242709755590314,21.40300457217505,20.23965410747375,0,0,1,1,195,195,1,,3.23486328125,2.899169921875,11.578947368421044,0.0,0.0,,23.13232421875,23.13232421875,0.0,9.002685546875,9.246826171875,-2.640264026402639,2.716064453125,2.960205078125,-8.247422680412376,7.598876953125,10.162353515625,-25.225225225225223,0.79345703125,0.79345703125,0.0
section,B_VIEW,40,40,45.952606201171875,47.88360595703125,-1.930999755859375,-4.032694942799786,21.761551360595043,20.88397437940155,4.202155036443012,20.752374920835972,20.152521525215253,0,0,1,1,291,291,1,,3.021240234375,3.41796875,-11.607142857142861,0.0,0.0,,12.6953125,12.664794921875,0.24096385542169418,8.11767578125,7.843017578125,3.5019455252918386,2.227783203125,3.204345703125,-30.476190476190478,19.134521484375,19.561767578125,-2.1840873634945357,2.86865234375,2.8076171875,2.1739130434782705
section,B_TO_SMALL,20,20,45.34759521484375,46.649169921875,-1.30157470703125,-2.790134763836194,22.05188599885595,21.436608661520346,2.8702177058447464,21.389033942558747,20.897959183673468,0,0,1,1,292,292,1,,3.23486328125,3.23486328125,0.0,0.0,0.0,,12.6953125,12.6953125,0.0,7.415771484375,7.38525390625,0.4132231404958775,2.655029296875,2.410888671875,10.126582278481022,18.646240234375,19.95849609375,-6.574923547400613,1.5869140625,1.617431640625,-1.8867924528301883
section,SMALL_SWEEP,80,80,48.19831848144531,50.44097900390625,-2.2426605224609375,-4.446108237287105,20.747611773737823,19.825150497625312,4.652984986030773,19.12901342673672,18.367713004484305,0,0,1,1,336,336,1,,3.509521484375,3.60107421875,-2.5423728813559365,0.0,0.0,,12.237548828125,12.237548828125,0.0,10.406494140625,10.345458984375,0.5899705014749346,6.4697265625,6.28662109375,2.9126213592232997,15.07568359375,17.27294921875,-12.720848056537104,5.126953125,5.218505859375,-1.7543859649122862
