scene_index,scene_id,scene_name,scene_flags,frame_hash,clean_samples,detailed_samples,total_ms_min,total_ms_max,total_ms_mean,total_ms_median,total_ms_pstdev,wait_ms_min,wait_ms_max,wait_ms_mean,wait_ms_median,wait_ms_pstdev,background_ms_min,background_ms_max,background_ms_mean,background_ms_median,background_ms_pstdev,columns_ms_min,columns_ms_max,columns_ms_mean,columns_ms_median,columns_ms_pstdev,trace_total_ms_min,trace_total_ms_max,trace_total_ms_mean,trace_total_ms_median,trace_total_ms_pstdev,trace_intrusion_percent,corrected_trace_total_ms_min,corrected_trace_total_ms_max,corrected_trace_total_ms_mean,corrected_trace_total_ms_median,corrected_trace_total_ms_pstdev,corrected_trace_residual_percent,admin_corrected_ticks_mean,admin_corrected_ms_mean,admin_entries_mean,wait_corrected_ticks_mean,wait_corrected_ms_mean,wait_entries_mean,background_corrected_ticks_mean,background_corrected_ms_mean,background_entries_mean,dda_corrected_ticks_mean,dda_corrected_ms_mean,dda_entries_mean,portal_trace_corrected_ticks_mean,portal_trace_corrected_ms_mean,portal_trace_entries_mean,wall_draw_corrected_ticks_mean,wall_draw_corrected_ms_mean,wall_draw_entries_mean,portal_draw_corrected_ticks_mean,portal_draw_corrected_ms_mean,portal_draw_entries_mean,casts_mean,max_depth_mean,portal_transforms_mean,wall_calls_mean,mask_calls_mean,portal_candidates_mean,linked_exits_mean,textured_rows_mean,dda_steps_mean
0,1,NEAR_WALL,0x00,0xAA5E6985,8,4,44.219970703125,44.25048828125,44.223785400390625,44.219970703125,0.010092740291841852,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,10.406494140625,10.43701171875,10.42938232421875,10.43701171875,0.013214498959113138,33.660888671875,33.69140625,33.66851806640625,33.660888671875,0.013214498959113138,56.2744140625,56.304931640625,56.28204345703125,56.2744140625,0.013214498959113138,27.387216423703965,44.097900390625,44.12841796875,44.10552978515625,44.097900390625,0.013214498959113138,-0.2674027430345949,99.5,3.0364990234375,163.0,0.25,0.00762939453125,1.0,341.0,10.406494140625,1.0,233.25,7.11822509765625,80.0,66.75,2.03704833984375,80.0,704.5,21.4996337890625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,19200.0,80.0
1,2,MID_DIRECT,0x00,0x1538F381,8,4,42.999267578125,43.02978515625,43.003082275390625,42.999267578125,0.010092740291841852,0.0,0.030517578125,0.02288818359375,0.030517578125,0.013214498959113138,11.688232421875,11.71875,11.7034912109375,11.7034912109375,0.0152587890625,31.158447265625,31.18896484375,31.18133544921875,31.18896484375,0.013214498959113138,55.023193359375,55.0537109375,55.04608154296875,55.0537109375,0.013214498959113138,28.075933646766615,42.8466796875,42.877197265625,42.86956787109375,42.877197265625,0.013214498959113138,-0.31047635944291274,100.5,3.0670166015625,163.0,0.0,0.0,1.0,382.75,11.68060302734375,1.0,241.25,7.36236572265625,80.0,64.75,1.97601318359375,80.0,615.5,18.7835693359375,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,12800.0,200.0
2,3,LONG_DDA,0x00,0x125784EE,8,4,45.0439453125,45.074462890625,45.070648193359375,45.074462890625,0.010092740291841852,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,21.3623046875,21.392822265625,21.366119384765625,21.3623046875,0.010092740291841852,23.5595703125,23.590087890625,23.586273193359375,23.590087890625,0.010092740291841852,57.098388671875,57.12890625,57.12127685546875,57.12890625,0.013214498959113138,26.8218366483284,44.921875,44.952392578125,44.94476318359375,44.952392578125,0.013214498959113138,-0.27930596699111687,100.0,3.0517578125,163.0,0.25,0.00762939453125,1.0,699.5,21.3470458984375,1.0,287.0,8.758544921875,80.0,66.0,2.01416015625,80.0,320.0,9.765625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,2424.0,1155.0
3,4,PORTAL_CHAIN,0x00,0xAD3E19C6,8,4,53.89404296875,53.924560546875,53.905487060546875,53.89404296875,0.014774258980588597,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,10.80322265625,10.833740234375,10.822296142578125,10.833740234375,0.014774258980588597,42.938232421875,42.96875,42.949676513671875,42.938232421875,0.014774258980588597,80.535888671875,80.56640625,80.55877685546875,80.56640625,0.013214498959113138,49.5152501592244,55.450439453125,55.48095703125,55.47332763671875,55.48095703125,0.013214498959113138,2.9084990446536008,136.25,4.15802001953125,249.0,0.25,0.00762939453125,1.0,354.0,10.80322265625,1.0,463.75,14.15252685546875,166.0,371.25,11.32965087890625,252.0,330.75,10.09368896484375,80.0,161.5,4.9285888671875,86.0,166.0,3.0,86.0,80.0,86.0,86.0,86.0,2709.0,911.0
4,5,PORTAL_WIDE,0x00,0x0099C767,8,4,41.015625,41.046142578125,41.03851318359375,41.046142578125,0.013214498959113138,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,12.115478515625,12.14599609375,12.119293212890625,12.115478515625,0.010092740291841852,28.778076171875,28.80859375,28.7933349609375,28.7933349609375,0.0152587890625,56.2744140625,56.304931640625,56.28204345703125,56.2744140625,0.013214498959113138,37.21881390593047,41.259765625,41.290283203125,41.26739501953125,41.259765625,0.013214498959113138,0.557724484104849,106.75,3.25775146484375,182.0,0.25,0.00762939453125,1.0,396.5,12.1002197265625,1.0,319.0,9.735107421875,99.0,129.25,3.94439697265625,118.0,323.25,9.86480712890625,80.0,77.25,2.35748291015625,19.0,99.0,2.0,19.0,80.0,19.0,23.0,19.0,2814.0,922.0
5,6,CUSTOM_PAIR,0x01,0x7CD87316,8,4,53.436279296875,53.466796875,53.45916748046875,53.466796875,0.013214498959113138,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,10.406494140625,10.43701171875,10.4217529296875,10.4217529296875,0.0152587890625,42.877197265625,42.90771484375,42.903900146484375,42.90771484375,0.010092740291841852,80.902099609375,80.9326171875,80.90972900390625,80.902099609375,0.013214498959113138,51.405737120022835,55.145263671875,55.17578125,55.15289306640625,55.145263671875,0.013214498959113138,3.1682603111174545,136.0,4.150390625,253.0,0.0,0.0,1.0,341.25,10.41412353515625,1.0,479.0,14.617919921875,170.0,366.5,11.1846923828125,262.0,303.25,9.25445556640625,78.0,181.25,5.53131103515625,92.0,170.0,4.0,90.0,78.0,92.0,106.0,92.0,2083.0,1105.0
