scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_spikes,baseline_spikes,frame_hash_match,state_hash_match,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,detail_trace_noncomparable_reason,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_background_corrected_ms,baseline_background_corrected_ms,background_percent_change,current_dda_corrected_ms,baseline_dda_corrected_ms,dda_percent_change,current_portal_trace_corrected_ms,baseline_portal_trace_corrected_ms,portal_trace_percent_change,current_wall_draw_corrected_ms,baseline_wall_draw_corrected_ms,wall_draw_percent_change,current_portal_draw_corrected_ms,baseline_portal_draw_corrected_ms,portal_draw_percent_change
overall,ALL_CLEAN,971,971,47.166787018859424,47.232505099044154,-0.06571808018473035,-0.13913740134452457,21.201359329397498,21.171860308976857,0.13933126324348066,16.207339994064696,16.14107679424659,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,A_APPROACH,8,8,45.017242431640625,45.1507568359375,-0.133514404296875,-0.2957080094626585,22.21371070248284,22.148022980736734,0.2965850351665189,18.55492638731597,18.460845070422536,0,0,1,1,0,0,1,,4.2724609375,4.21142578125,1.449275362318847,0.0,0.0,,10.80322265625,10.80322265625,0.0,14.16015625,14.2822265625,-0.8547008547008517,10.3759765625,11.260986328125,-7.859078590785906,10.223388671875,9.918212890625,3.076923076923066,5.157470703125,4.7607421875,8.333333333333325
section,LARGE_ENTRY,20,20,36.66839599609375,36.65008544921875,0.018310546875,0.049960447978691924,27.271441055303566,27.28506598942504,-0.049935499979203435,26.83701883701884,26.88105004101723,0,0,1,1,26,26,1,,3.0517578125,3.326416015625,-8.25688073394495,0.0,0.0,,11.871337890625,11.871337890625,0.0,7.781982421875,7.843017578125,-0.7782101167315147,1.983642578125,1.8310546875,8.333333333333325,11.962890625,11.77978515625,1.5544041450777257,0.0,0.0,
section,SLOW_SWEEP,80,80,47.76725769042969,47.88818359375,-0.1209259033203125,-0.25251720621972673,20.934842156541738,20.88197807800153,0.25315646986479035,18.575963718820862,18.512994350282487,0,0,1,1,96,96,1,,4.150390625,3.41796875,21.42857142857142,0.0,0.0,,14.556884765625,14.556884765625,0.0,10.8642578125,11.16943359375,-2.732240437158473,6.2255859375,6.988525390625,-10.917030567685593,12.26806640625,12.237548828125,0.24937655860348684,6.256103515625,6.16455078125,1.4851485148514865
section,FAST_SWEEP,40,40,47.61505126953125,47.699737548828125,-0.084686279296875,-0.1775403464435943,21.0017625380548,20.964475936085474,0.17785611280243252,19.562985074626866,19.504761904761907,0,0,1,1,142,142,1,,3.84521484375,3.326416015625,15.596330275229352,0.0,0.0,,12.603759765625,12.603759765625,0.0,10.80322265625,10.833740234375,-0.28169014084507005,5.9814453125,6.40869140625,-6.666666666666665,12.725830078125,12.939453125,-1.650943396226412,5.55419921875,5.523681640625,0.5524861878453136
section,A_RETURN,28,28,57.194301060267854,57.394845145089285,-0.2005440848214306,-0.34941131788834845,17.484259470996264,17.42316748955564,0.35063648143911497,15.566745843230404,15.515151515151516,0,0,1,1,161,161,1,,3.936767578125,3.570556640625,10.256410256410264,0.0,0.0,,12.176513671875,12.20703125,-0.24999999999999467,13.48876953125,13.641357421875,-1.118568232662187,10.31494140625,10.498046875,-1.744186046511631,11.65771484375,11.871337890625,-1.7994858611825149,13.519287109375,13.5498046875,-0.22522522522522292
section,B_APPROACH,76,76,47.1392179790296,47.18057732833059,-0.041359349300989834,-0.08766181264202588,21.213758795168406,21.195162429679055,0.08773872599963095,20.23965410747375,20.252163164400493,0,0,1,1,195,195,1,,3.265380859375,3.23486328125,0.9433962264151052,0.0,0.0,,23.13232421875,23.13232421875,0.0,9.1552734375,9.1552734375,0.0,2.8076171875,2.777099609375,1.098901098901095,10.009765625,10.101318359375,-0.9063444108761365,0.823974609375,0.823974609375,0.0
section,B_VIEW,40,40,47.890472412109375,47.88665771484375,0.003814697265625,0.007966096294165226,20.880980070414683,20.882643469394257,-0.007965461757808434,20.20221948212084,20.164923076923078,0,0,1,1,291,291,1,,3.23486328125,3.387451171875,-4.504504504504503,0.0,0.0,,12.6953125,12.6953125,0.0,7.9345703125,7.87353515625,0.7751937984496138,2.9296875,2.838134765625,3.2258064516129004,19.775390625,19.775390625,0.0,2.838134765625,2.9296875,-3.125
section,B_TO_SMALL,20,20,46.6644287109375,46.6522216796875,0.01220703125,0.02616602341858343,21.429599110587926,21.435206384509716,-0.02615917860180339,20.91129546904914,20.91129546904914,0,0,1,1,292,292,1,,3.082275390625,3.265380859375,-5.607476635514019,0.0,0.0,,12.6953125,12.6953125,0.0,7.4462890625,7.476806640625,-0.40816326530612734,2.50244140625,2.410888671875,3.797468354430378,19.8974609375,19.866943359375,0.1536098310291889,1.64794921875,1.617431640625,1.8867924528301883
section,SMALL_SWEEP,80,80,50.27923583984375,50.443267822265625,-0.164031982421875,-0.32518111832054997,19.888925981002092,19.824250949075125,0.3262419956905571,18.471251409244644,18.357422969187674,0,0,1,1,336,336,1,,3.448486328125,3.90625,-11.71875,0.0,0.0,,12.26806640625,12.26806640625,0.0,10.25390625,9.918212890625,3.384615384615386,6.317138671875,6.805419921875,-7.17488789237668,17.2119140625,17.08984375,0.7142857142857117,5.157470703125,4.974365234375,3.6809815950920255
