crossing_index,frame_index,section_id,section_name,crossing_detailed,crossing_included_in_clean_stats,crossing_total_ticks,crossing_total_ms,crossing_render_ms,player_x,player_y,angle_degrees,pre_clean_frames,pre_clean_mean_ms,pre_clean_average_fps,post_clean_frames,post_clean_mean_ms,post_clean_average_fps,window_start,window_end,window_max_ms,window_observed_max_ms,window_clean_frames,window_clean_max_ms
1,4,1,A_APPROACH,0,1,1201,36.651611328125,36.041259765625,3.5,1.25390625,90.0,3,53.578694661458336,18.664135181317636,3,36.285400390625,27.55929352396972,1,7,53.680419921875,53.680419921875,7,53.680419921875
2,173,5,A_RETURN,0,1,1580,48.2177734375,47.637939453125,1.25,2.5,359.296875,3,58.461507161458336,17.105272315990952,3,47.597249348958336,21.009617439623852,170,176,58.53271484375,58.53271484375,7,58.53271484375
3,666,13,D_APPROACH,0,1,1547,47.210693359375,46.661376953125,13.75,5.17578125,177.890625,3,54.01611328125,18.512994350282487,3,47.322591145833336,21.131556319862426,663,669,54.779052734375,54.779052734375,7,54.779052734375
