scene_index,scene_id,scene_name,scene_flags,frame_hash,clean_samples,detailed_samples,total_ms_min,total_ms_max,total_ms_mean,total_ms_median,total_ms_pstdev,wait_ms_min,wait_ms_max,wait_ms_mean,wait_ms_median,wait_ms_pstdev,background_ms_min,background_ms_max,background_ms_mean,background_ms_median,background_ms_pstdev,columns_ms_min,columns_ms_max,columns_ms_mean,columns_ms_median,columns_ms_pstdev,trace_total_ms_min,trace_total_ms_max,trace_total_ms_mean,trace_total_ms_median,trace_total_ms_pstdev,trace_intrusion_percent,corrected_trace_total_ms_min,corrected_trace_total_ms_max,corrected_trace_total_ms_mean,corrected_trace_total_ms_median,corrected_trace_total_ms_pstdev,corrected_trace_residual_percent,admin_corrected_ticks_mean,admin_corrected_ms_mean,admin_entries_mean,wait_corrected_ticks_mean,wait_corrected_ms_mean,wait_entries_mean,background_corrected_ticks_mean,background_corrected_ms_mean,background_entries_mean,dda_corrected_ticks_mean,dda_corrected_ms_mean,dda_entries_mean,portal_trace_corrected_ticks_mean,portal_trace_corrected_ms_mean,portal_trace_entries_mean,wall_draw_corrected_ticks_mean,wall_draw_corrected_ms_mean,wall_draw_entries_mean,portal_draw_corrected_ticks_mean,portal_draw_corrected_ms_mean,portal_draw_entries_mean,casts_mean,max_depth_mean,portal_transforms_mean,wall_calls_mean,mask_calls_mean,portal_candidates_mean,linked_exits_mean,textured_rows_mean,dda_steps_mean
0,1,NEAR_WALL,0x00,0xAA5E6985,8,4,44.769287109375,44.7998046875,44.795989990234375,44.7998046875,0.010092740291841852,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,10.986328125,11.016845703125,11.005401611328125,11.016845703125,0.014774258980588597,33.660888671875,33.69140625,33.66851806640625,33.660888671875,0.013214498959113138,56.854248046875,56.884765625,56.8695068359375,56.8695068359375,0.0152587890625,27.020352550455584,44.677734375,44.708251953125,44.6929931640625,44.6929931640625,0.0152587890625,-0.22992421016776454,102.0,3.11279296875,163.0,0.0,0.0,1.0,360.0,10.986328125,1.0,232.5,7.0953369140625,80.0,62.75,1.91497802734375,80.0,707.25,21.58355712890625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,19200.0,80.0
1,2,MID_DIRECT,0x00,0x1538F381,8,4,43.792724609375,43.8232421875,43.80035400390625,43.792724609375,0.013214498959113138,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,12.481689453125,12.51220703125,12.493133544921875,12.481689453125,0.014774258980588597,31.158447265625,31.18896484375,31.18133544921875,31.18896484375,0.013214498959113138,55.816650390625,55.84716796875,55.83953857421875,55.84716796875,0.013214498959113138,27.538756314230973,43.64013671875,43.670654296875,43.66302490234375,43.670654296875,0.013214498959113138,-0.3135342274865005,101.0,3.082275390625,163.0,0.0,0.0,1.0,409.0,12.481689453125,1.0,240.0,7.32421875,80.0,64.25,1.96075439453125,80.0,616.5,18.8140869140625,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,12800.0,200.0
2,3,LONG_DDA,0x00,0x125784EE,8,4,47.30224609375,47.332763671875,47.30987548828125,47.30224609375,0.013214498959113138,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,23.590087890625,23.62060546875,23.6053466796875,23.6053466796875,0.0152587890625,23.5595703125,23.590087890625,23.5748291015625,23.5748291015625,0.0152587890625,59.356689453125,59.356689453125,59.356689453125,59.356689453125,0.0,25.54426705370101,47.18017578125,47.18017578125,47.18017578125,47.18017578125,0.0,-0.274149330753104,102.5,3.1280517578125,163.0,0.0,0.0,1.0,773.0,23.590087890625,1.0,285.5,8.7127685546875,80.0,64.0,1.953125,80.0,321.0,9.796142578125,80.0,0.0,0.0,0.0,80.0,1.0,0.0,80.0,0.0,0.0,0.0,2424.0,1155.0
3,4,PORTAL_CHAIN,0x00,0xE30EFF60,8,4,54.534912109375,54.5654296875,54.5501708984375,54.5501708984375,0.0152587890625,0.0,0.030517578125,0.019073486328125,0.030517578125,0.014774258980588597,11.444091796875,11.474609375,11.470794677734375,11.474609375,0.010092740291841852,42.938232421875,42.96875,42.9534912109375,42.9534912109375,0.0152587890625,81.207275390625,81.207275390625,81.207275390625,81.207275390625,0.0,48.93706293706295,56.121826171875,56.121826171875,56.121826171875,56.121826171875,0.0,2.8811188811188826,131.5,4.0130615234375,249.0,0.25,0.00762939453125,1.0,375.25,11.45172119140625,1.0,462.5,14.1143798828125,166.0,374.25,11.42120361328125,252.0,331.75,10.12420654296875,80.0,163.5,4.9896240234375,86.0,166.0,3.0,86.0,80.0,86.0,86.0,86.0,2709.0,911.0
4,5,PORTAL_WIDE,0x00,0x0099C767,8,4,41.80908203125,41.839599609375,41.828155517578125,41.839599609375,0.014774258980588597,0.0,0.030517578125,0.02288818359375,0.030517578125,0.013214498959113138,12.908935546875,12.908935546875,12.908935546875,12.908935546875,0.0,28.778076171875,28.80859375,28.797149658203125,28.80859375,0.014774258980588597,57.06787109375,57.06787109375,57.06787109375,57.06787109375,0.0,36.52530779753762,42.05322265625,42.05322265625,42.05322265625,42.05322265625,0.0,0.5380756953944354,107.5,3.2806396484375,182.0,0.25,0.00762939453125,1.0,422.75,12.90130615234375,1.0,320.0,9.765625,99.0,128.5,3.9215087890625,118.0,322.75,9.84954833984375,80.0,76.25,2.32696533203125,19.0,99.0,2.0,19.0,80.0,19.0,23.0,19.0,2814.0,922.0
5,6,CUSTOM_PAIR,0x01,0x4D4D7731,8,4,54.01611328125,54.046630859375,54.0313720703125,54.0313720703125,0.0152587890625,0.0,0.030517578125,0.0152587890625,0.0152587890625,0.0152587890625,10.986328125,11.016845703125,10.997772216796875,10.986328125,0.014774258980588597,42.877197265625,42.90771484375,42.896270751953125,42.90771484375,0.014774258980588597,81.48193359375,81.48193359375,81.48193359375,81.48193359375,0.0,50.88957921491104,55.72509765625,55.72509765625,55.72509765625,55.72509765625,0.0,3.134707709686535,142.5,4.3487548828125,253.0,0.0,0.0,1.0,359.75,10.97869873046875,1.0,474.0,14.46533203125,170.0,371.75,11.34490966796875,262.0,300.25,9.16290283203125,78.0,177.75,5.42449951171875,92.0,170.0,4.0,90.0,78.0,92.0,106.0,92.0,2083.0,1105.0
