scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_frame_ms_median,baseline_frame_ms_median,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_setup_corrected_ms,baseline_setup_corrected_ms,setup_percent_change,current_root_geometry_corrected_ms,baseline_root_geometry_corrected_ms,root_geometry_percent_change,current_root_fill_corrected_ms,baseline_root_fill_corrected_ms,root_fill_percent_change,current_portal_setup_corrected_ms,baseline_portal_setup_corrected_ms,portal_setup_percent_change,current_portal_geometry_corrected_ms,baseline_portal_geometry_corrected_ms,portal_geometry_percent_change,current_portal_fill_corrected_ms,baseline_portal_fill_corrected_ms,portal_fill_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_present_corrected_ms,baseline_present_corrected_ms,present_percent_change,current_overlay_corrected_ms,baseline_overlay_corrected_ms,overlay_percent_change
overall,ALL_CLEAN,844,844,38.63167423772586,38.7080404995742,-0.07636626184834228,-0.19728785250491265,35.09521484375,35.125732421875,25.885494732802634,25.834425796134017,0.19767784688389245,16.239647577092512,16.115409836065574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,OPEN_YAW,127,127,31.9334015132874,31.934122400959644,-0.0007208876722444302,-0.0022574212724335574,30.2734375,30.303955078125,31.315173223369353,31.31446630798751,0.0022574722331025754,21.347231270358307,21.347231270358307,1,1,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,19.1650390625,19.1650390625,0.0,6.195068359375,6.2255859375,-0.4901960784313708,1.40380859375,1.373291015625,2.2222222222222143,4.150390625,4.180908203125,-0.7299270072992692,1.52587890625,1.52587890625,0.0,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.6103515625,0.579833984375,5.263157894736836
section,PITCH_SWEEP,95,95,38.71652703536184,38.70271381578947,0.013813219572369917,0.03569057104915174,41.107177734375,41.107177734375,25.828762974701924,25.83798140770252,-0.035677837425218684,21.67195767195767,21.686300463269358,133,133,1,0.0,0.030517578125,-100.0,0.1220703125,0.091552734375,33.33333333333333,18.24951171875,18.24951171875,0.0,6.16455078125,6.16455078125,0.0,1.373291015625,1.373291015625,0.0,4.150390625,4.150390625,0.0,1.52587890625,1.52587890625,0.0,0.0,0.0,,13.031005859375,13.0615234375,-0.2336448598130869,0.6103515625,0.579833984375,5.263157894736836
section,PORTAL_FAR,55,55,43.86263760653409,43.85320490056818,0.009432705965913613,0.021509729989643844,45.684814453125,45.684814453125,22.798446572465878,22.803350456765443,-0.02150510429975716,20.938019169329074,20.95140664961637,255,254,0,0.0,0.030517578125,,0.1220703125,0.091552734375,,18.00537109375,18.035888671875,,6.378173828125,6.34765625,,1.678466796875,1.708984375,,4.913330078125,4.94384765625,,2.349853515625,2.3193359375,,0.0,0.0,,13.0615234375,13.0615234375,,0.579833984375,0.579833984375,
section,PORTAL_NEAR,35,35,47.76611328125,48.223876953125,-0.457763671875,-0.949246930768255,47.332763671875,47.9736328125,20.9353437260414,20.73661561827617,0.9583439815997741,19.656868626274743,19.400828892835996,312,312,1,0.030517578125,0.030517578125,0.0,0.1220703125,0.1220703125,0.0,12.359619140625,12.359619140625,0.0,3.41796875,3.41796875,0.0,2.532958984375,2.532958984375,0.0,15.9912109375,16.693115234375,-4.20475319926874,2.105712890625,2.105712890625,0.0,0.0,0.0,,13.0615234375,13.031005859375,0.23419203747072626,0.579833984375,0.6103515625,-5.000000000000004
section,CROSS_DOWN,3,3,41.432698567708336,41.544596354166664,-0.1118977864583286,-0.2693437806072341,48.797607421875,49.25537109375,24.13552663884115,24.070519098922624,0.2700712005892614,19.586371787208606,19.6098144823459,316,316,1,0.030517578125,0.0,,0.091552734375,0.1220703125,-25.0,12.359619140625,12.359619140625,0.0,3.41796875,3.41796875,0.0,2.5634765625,2.532958984375,1.2048192771084265,15.960693359375,16.66259765625,-4.212454212454208,2.0751953125,2.105712890625,-1.449275362318836,0.0,0.0,,13.0615234375,13.031005859375,0.23419203747072626,0.579833984375,0.6103515625,-5.000000000000004
section,RETURN_UP,9,9,41.158040364583336,41.453043619791664,-0.2950032552083286,-0.7116564417177784,46.38671875,46.875,24.296589223924865,24.123680981595093,0.7167572911517484,13.320325203252033,13.244947453516572,329,329,1,0.030517578125,0.030517578125,0.0,0.1220703125,0.091552734375,33.33333333333333,12.39013671875,12.420654296875,-0.24570024570024218,3.41796875,3.41796875,0.0,2.532958984375,2.532958984375,0.0,14.678955078125,15.289306640625,-3.9920159680638667,2.105712890625,2.105712890625,0.0,0.0,0.0,,13.0615234375,13.031005859375,0.23419203747072626,0.946044921875,0.9765625,-3.125
section,LOD_RETREAT,47,47,46.57177214926862,46.92110102227394,-0.34932887300531945,-0.7445027192339082,47.515869140625,47.9736328125,21.47223422795399,21.3123728602466,0.7500871383757213,19.400828892835996,19.12901342673672,338,338,1,0.0,0.030517578125,-100.0,0.1220703125,0.091552734375,33.33333333333333,12.481689453125,12.481689453125,0.0,3.448486328125,3.448486328125,0.0,2.532958984375,2.532958984375,0.0,16.326904296875,17.059326171875,-4.2933810375670785,2.105712890625,2.0751953125,1.4705882352941124,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.9765625,0.9765625,0.0
section,LOD_APPROACH,59,59,46.26102770789195,46.55275506488348,-0.2917273569915295,-0.6266597037810739,47.8515625,48.095703125,21.616467457539944,21.481005766602593,0.6306114918881445,16.125984251968504,16.11805213969503,416,416,1,0.0,0.030517578125,-100.0,0.1220703125,0.1220703125,0.0,12.481689453125,12.481689453125,0.0,3.41796875,3.41796875,0.0,2.5634765625,2.5634765625,0.0,16.357421875,17.059326171875,-4.114490161001793,2.044677734375,2.0751953125,-1.4705882352941124,0.0,0.0,,13.0615234375,13.031005859375,0.23419203747072626,0.9765625,0.9765625,0.0
section,FREECAM_YAW,127,127,31.48573026882382,31.485009381151574,0.0007208876722444302,0.0022896219071144586,32.470703125,32.440185546875,31.760419449129582,31.761146642651077,-0.002289569484614784,28.444444444444443,28.432104121475053,438,459,0,0.030517578125,0.0,,0.1220703125,0.1220703125,,17.120361328125,17.181396484375,,3.021240234375,3.021240234375,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,13.0615234375,13.0615234375,,0.9765625,0.946044921875,
section,FREECAM_3D,287,287,39.636166668935104,39.68369753103223,-0.0475308620971262,-0.11977427773699478,34.759521484375,34.759521484375,25.22948317259326,25.19926474134651,0.11991790854581907,16.630688546777193,16.513354611120445,612,612,1,0.0,0.030517578125,-100.0,0.1220703125,0.091552734375,33.33333333333333,18.73779296875,18.73779296875,0.0,3.875732421875,3.90625,-0.78125,2.5634765625,2.532958984375,1.2048192771084265,17.4560546875,18.096923828125,-3.541315345699836,1.983642578125,2.01416015625,-1.5151515151515138,0.0,0.0,,13.0615234375,13.031005859375,0.23419203747072626,0.9765625,0.9765625,0.0
